CO_TAZID,SUBAREAID,CO_FIPS,CO_NAME,MedInc
110212.0,1.0,11.0,DAVIS,107296.0
110213.0,1.0,11.0,DAVIS,121932.0
110214.0,1.0,11.0,DAVIS,163348.0
110215.0,1.0,11.0,DAVIS,138750.0
110216.0,1.0,11.0,DAVIS,141998.0
110217.0,1.0,11.0,DAVIS,138090.0
110218.0,1.0,11.0,DAVIS,116050.0
110219.0,1.0,11.0,DAVIS,121932.0
110220.0,1.0,11.0,DAVIS,121932.0
110221.0,1.0,11.0,DAVIS,121107.0
110222.0,1.0,11.0,DAVIS,121107.0
110223.0,1.0,11.0,DAVIS,121107.0
110224.0,1.0,11.0,DAVIS,138750.0
110225.0,1.0,11.0,DAVIS,121932.0
110226.0,1.0,11.0,DAVIS,77571.0
110227.0,1.0,11.0,DAVIS,77571.0
110228.0,1.0,11.0,DAVIS,77571.0
110229.0,1.0,11.0,DAVIS,86818.0
110230.0,1.0,11.0,DAVIS,86818.0
110231.0,1.0,11.0,DAVIS,86818.0
110232.0,1.0,11.0,DAVIS,131613.0
110233.0,1.0,11.0,DAVIS,121932.0
110234.0,1.0,11.0,DAVIS,121932.0
110235.0,1.0,11.0,DAVIS,126286.0
110236.0,1.0,11.0,DAVIS,126286.0
110237.0,1.0,11.0,DAVIS,128068.0
110238.0,1.0,11.0,DAVIS,128068.0
110239.0,1.0,11.0,DAVIS,126286.0
110240.0,1.0,11.0,DAVIS,126286.0
110241.0,1.0,11.0,DAVIS,126286.0
110242.0,1.0,11.0,DAVIS,126286.0
110243.0,1.0,11.0,DAVIS,87019.0
110244.0,1.0,11.0,DAVIS,72563.0
110245.0,1.0,11.0,DAVIS,71306.0
110246.0,1.0,11.0,DAVIS,89766.0
110247.0,1.0,11.0,DAVIS,104552.0
110248.0,1.0,11.0,DAVIS,117034.0
110249.0,1.0,11.0,DAVIS,83132.0
110250.0,1.0,11.0,DAVIS,86022.0
110251.0,1.0,11.0,DAVIS,94242.0
110252.0,1.0,11.0,DAVIS,100568.0
110253.0,1.0,11.0,DAVIS,113424.0
110254.0,1.0,11.0,DAVIS,148457.0
110255.0,1.0,11.0,DAVIS,56512.0
110256.0,1.0,11.0,DAVIS,79853.0
110257.0,1.0,11.0,DAVIS,84728.0
110258.0,1.0,11.0,DAVIS,128750.0
110259.0,1.0,11.0,DAVIS,101493.0
110260.0,1.0,11.0,DAVIS,115750.0
110261.0,1.0,11.0,DAVIS,150629.0
110262.0,1.0,11.0,DAVIS,148936.0
110263.0,1.0,11.0,DAVIS,75769.0
110264.0,1.0,11.0,DAVIS,75769.0
110265.0,1.0,11.0,DAVIS,106161.0
110266.0,1.0,11.0,DAVIS,112749.0
110267.0,1.0,11.0,DAVIS,121487.0
110268.0,1.0,11.0,DAVIS,126136.0
110269.0,1.0,11.0,DAVIS,52684.0
110270.0,1.0,11.0,DAVIS,73828.0
110271.0,1.0,11.0,DAVIS,155821.0
110272.0,1.0,11.0,DAVIS,148936.0
110273.0,1.0,11.0,DAVIS,81514.0
110274.0,1.0,11.0,DAVIS,72064.0
110275.0,1.0,11.0,DAVIS,121500.0
110276.0,1.0,11.0,DAVIS,150479.0
110277.0,1.0,11.0,DAVIS,162012.0
110278.0,1.0,11.0,DAVIS,126286.0
110279.0,1.0,11.0,DAVIS,126286.0
110280.0,1.0,11.0,DAVIS,126286.0
110281.0,1.0,11.0,DAVIS,96250.0
110282.0,1.0,11.0,DAVIS,123125.0
110283.0,1.0,11.0,DAVIS,73224.0
110284.0,1.0,11.0,DAVIS,83678.0
110285.0,1.0,11.0,DAVIS,112705.0
110286.0,1.0,11.0,DAVIS,117693.0
110287.0,1.0,11.0,DAVIS,115463.0
110288.0,1.0,11.0,DAVIS,123125.0
110289.0,1.0,11.0,DAVIS,123125.0
110290.0,1.0,11.0,DAVIS,132046.0
110291.0,1.0,11.0,DAVIS,83678.0
110292.0,1.0,11.0,DAVIS,63965.0
110293.0,1.0,11.0,DAVIS,99885.0
110294.0,1.0,11.0,DAVIS,80889.0
110295.0,1.0,11.0,DAVIS,101464.0
110296.0,1.0,11.0,DAVIS,50625.0
110297.0,1.0,11.0,DAVIS,50625.0
110298.0,1.0,11.0,DAVIS,50625.0
110299.0,1.0,11.0,DAVIS,50625.0
110300.0,1.0,11.0,DAVIS,50625.0
110301.0,1.0,11.0,DAVIS,50625.0
110302.0,1.0,11.0,DAVIS,133750.0
110303.0,1.0,11.0,DAVIS,88933.0
110304.0,1.0,11.0,DAVIS,88933.0
110305.0,1.0,11.0,DAVIS,139961.0
110306.0,1.0,11.0,DAVIS,173250.0
110307.0,1.0,11.0,DAVIS,50625.0
110308.0,1.0,11.0,DAVIS,50625.0
110309.0,1.0,11.0,DAVIS,50625.0
110310.0,1.0,11.0,DAVIS,73917.0
110311.0,1.0,11.0,DAVIS,134702.0
110312.0,1.0,11.0,DAVIS,50625.0
110313.0,1.0,11.0,DAVIS,127675.0
110314.0,1.0,11.0,DAVIS,135543.0
110315.0,1.0,11.0,DAVIS,160092.0
110316.0,1.0,11.0,DAVIS,50625.0
110317.0,1.0,11.0,DAVIS,120568.0
110318.0,1.0,11.0,DAVIS,161363.0
110319.0,1.0,11.0,DAVIS,162435.0
110320.0,1.0,11.0,DAVIS,154927.0
110321.0,1.0,11.0,DAVIS,126286.0
110322.0,1.0,11.0,DAVIS,129743.0
110323.0,1.0,11.0,DAVIS,127961.0
110324.0,1.0,11.0,DAVIS,155258.0
350001.0,1.0,35.0,SALT LAKE,47188.0
350002.0,1.0,35.0,SALT LAKE,47188.0
350003.0,1.0,35.0,SALT LAKE,47188.0
350005.0,1.0,35.0,SALT LAKE,47188.0
350009.0,1.0,35.0,SALT LAKE,94919.0
350011.0,1.0,35.0,SALT LAKE,142650.0
350014.0,1.0,35.0,SALT LAKE,142650.0
350017.0,1.0,35.0,SALT LAKE,110214.0
350018.0,1.0,35.0,SALT LAKE,142650.0
350019.0,1.0,35.0,SALT LAKE,77778.0
350020.0,1.0,35.0,SALT LAKE,77778.0
350021.0,1.0,35.0,SALT LAKE,77778.0
350022.0,1.0,35.0,SALT LAKE,95118.0
350026.0,1.0,35.0,SALT LAKE,146705.0
350027.0,1.0,35.0,SALT LAKE,146705.0
350028.0,1.0,35.0,SALT LAKE,146705.0
350029.0,1.0,35.0,SALT LAKE,146705.0
350030.0,1.0,35.0,SALT LAKE,146705.0
350031.0,1.0,35.0,SALT LAKE,155855.0
350032.0,1.0,35.0,SALT LAKE,135087.0
350033.0,1.0,35.0,SALT LAKE,154184.0
350034.0,1.0,35.0,SALT LAKE,85298.0
350035.0,1.0,35.0,SALT LAKE,94658.0
350036.0,1.0,35.0,SALT LAKE,85298.0
350038.0,1.0,35.0,SALT LAKE,47188.0
350039.0,1.0,35.0,SALT LAKE,85298.0
